series_id,week_number,start_date,end_date,home_team_id,away_team_id,series_length
241,9,5/22/2026,8/12/2026,109,115,4
242,9,5/22/2026,5/24/2026,112,117,3
243,9,5/22/2026,5/24/2026,143,114,3
244,9,5/22/2026,9/24/2026,147,139,4
245,9,5/22/2026,5/24/2026,141,134,3
246,9,5/22/2026,5/24/2026,111,142,3
247,9,5/22/2026,9/9/2026,146,121,3
248,9,5/22/2026,5/24/2026,110,116,3
249,9,5/22/2026,8/2/2026,144,120,4
250,9,5/22/2026,5/24/2026,118,136,3
251,9,5/22/2026,5/24/2026,158,119,3
252,9,5/22/2026,8/20/2026,113,138,5
253,9,5/23/2026,8/14/2026,108,140,4
254,9,5/23/2026,5/24/2026,135,133,3
255,9,5/23/2026,5/24/2026,137,145,3
256,9,5/25/2026,7/26/2026,134,112,4
257,9,5/25/2026,8/23/2026,110,139,3
258,9,5/25/2026,9/6/2026,145,142,4
259,9,5/25/2026,9/27/2026,158,138,3
260,9,5/25/2026,5/27/2026,118,147,3
261,9,5/25/2026,5/27/2026,121,113,3
262,9,5/25/2026,8/30/2026,137,109,4
263,9,5/25/2026,5/27/2026,114,120,3
264,9,5/25/2026,5/27/2026,135,143,3
265,9,5/25/2026,7/12/2026,140,117,4
266,9,5/25/2026,5/27/2026,141,146,3
267,9,5/26/2026,7/9/2026,119,115,3
268,9,5/26/2026,9/13/2026,133,136,3
269,9,5/26/2026,5/28/2026,116,108,3
270,9,5/26/2026,5/28/2026,111,144,3
271,10,5/28/2026,9/23/2026,110,141,4
272,10,5/29/2026,5/31/2026,113,144,3
273,10,5/29/2026,5/31/2026,120,135,3
274,10,5/29/2026,5/31/2026,134,142,3
275,10,5/29/2026,5/31/2026,114,111,3
276,10,5/29/2026,5/31/2026,139,108,3
277,10,5/29/2026,8/2/2026,121,146,4
278,10,5/29/2026,7/30/2026,138,112,4
279,10,5/29/2026,9/20/2026,145,116,4
280,10,5/30/2026,5/31/2026,140,118,3
281,10,5/30/2026,5/31/2026,117,158,3
282,10,5/30/2026,7/5/2026,115,137,3
283,10,5/30/2026,5/31/2026,133,147,3
284,10,5/30/2026,5/31/2026,136,109,3
285,10,5/30/2026,5/31/2026,119,143,3
286,10,6/1/2026,6/3/2026,139,116,3
287,10,6/1/2026,8/31/2026,120,146,4
288,10,6/1/2026,6/3/2026,113,118,3
289,10,6/1/2026,8/30/2026,142,145,3
290,10,6/1/2026,6/4/2026,158,137,4
291,10,6/1/2026,6/3/2026,138,140,3
292,10,6/2/2026,6/4/2026,108,115,3
293,10,6/2/2026,8/9/2026,109,119,4
294,10,6/2/2026,6/3/2026,136,121,3
295,10,6/2/2026,6/4/2026,143,135,3
296,10,6/2/2026,7/22/2026,111,110,3
297,10,6/2/2026,6/4/2026,147,114,3
298,10,6/2/2026,6/4/2026,144,141,3
299,10,6/3/2026,6/5/2026,112,133,3
300,10,6/3/2026,6/5/2026,117,134,3
301,11,6/4/2026,7/30/2026,142,118,4
302,11,6/5/2026,6/8/2026,112,137,3
303,11,6/5/2026,6/7/2026,116,136,3
304,11,6/5/2026,6/7/2026,143,145,3
305,11,6/5/2026,8/30/2026,147,111,3
306,11,6/5/2026,9/13/2026,141,110,3
307,11,6/5/2026,6/7/2026,146,139,3
308,11,6/5/2026,6/7/2026,144,134,3
309,11,6/6/2026,8/23/2026,117,133,3
