id,name,abbreviation,conference,logo_url
2329,Lehigh,LEH,Patriot,https://cdn.collegefootballdata.com/logos/500/2329.png
2815,Lindenwood,LIN,OVC,https://cdn.collegefootballdata.com/logos/500/2815.png
2341,Long Island University,LIU,NEC,https://cdn.collegefootballdata.com/logos/500/2341.png
311,Maine,ME,Coastal Athletic,https://cdn.collegefootballdata.com/logos/500/311.png
2368,Marist,MRST,Pioneer,https://cdn.collegefootballdata.com/logos/500/2368.png
2377,McNeese,MCN,Southland,https://cdn.collegefootballdata.com/logos/500/2377.png
2382,Mercer,MER,Southern,https://cdn.collegefootballdata.com/logos/500/2382.png
2385,Mercyhurst,MERC,NEC,https://cdn.collegefootballdata.com/logos/500/2385.png
2771,Merrimack,MRMK,FCS Independents,https://cdn.collegefootballdata.com/logos/500/2771.png
2400,Mississippi Valley State,MVSU,SWAC,https://cdn.collegefootballdata.com/logos/500/2400.png
2405,Monmouth,MONM,Coastal Athletic,https://cdn.collegefootballdata.com/logos/500/2405.png
149,Montana,MONT,Big Sky,https://cdn.collegefootballdata.com/logos/500/149.png
147,Montana State,MTST,Big Sky,https://cdn.collegefootballdata.com/logos/500/147.png
2413,Morehead State,MORE,Pioneer,https://cdn.collegefootballdata.com/logos/500/2413.png
2415,Morgan State,MORG,MEAC,https://cdn.collegefootballdata.com/logos/500/2415.png
93,Murray State,MUR,MVFC,https://cdn.collegefootballdata.com/logos/500/93.png
160,New Hampshire,UNH,Coastal Athletic,https://cdn.collegefootballdata.com/logos/500/160.png
2441,New Haven,NHVN,NEC,https://cdn.collegefootballdata.com/logos/500/2441.png
2447,Nicholls,NICH,Southland,https://cdn.collegefootballdata.com/logos/500/2447.png
2450,Norfolk State,NORF,MEAC,https://cdn.collegefootballdata.com/logos/500/2450.png
2453,North Alabama,UNA,UAC,https://cdn.collegefootballdata.com/logos/500/2453.png
2448,North Carolina A&T,NCAT,Coastal Athletic,https://cdn.collegefootballdata.com/logos/500/2448.png
2428,North Carolina Central,NCCU,MEAC,https://cdn.collegefootballdata.com/logos/500/2428.png
155,North Dakota,UND,MVFC,https://cdn.collegefootballdata.com/logos/500/155.png
2464,Northern Arizona,NAU,Big Sky,https://cdn.collegefootballdata.com/logos/500/2464.png
2458,Northern Colorado,UNCO,Big Sky,https://cdn.collegefootballdata.com/logos/500/2458.png
2460,Northern Iowa,UNI,MVFC,https://cdn.collegefootballdata.com/logos/500/2460.png
2466,Northwestern State,NWST,Southland,https://cdn.collegefootballdata.com/logos/500/2466.png
219,Pennsylvania,PENN,Ivy,https://cdn.collegefootballdata.com/logos/500/219.png
2502,Portland State,PRST,Big Sky,https://cdn.collegefootballdata.com/logos/500/2502.png
2504,Prairie View A&M,PV,SWAC,https://cdn.collegefootballdata.com/logos/500/2504.png
2506,Presbyterian,PRES,Pioneer,https://cdn.collegefootballdata.com/logos/500/2506.png
163,Princeton,PRIN,Ivy,https://cdn.collegefootballdata.com/logos/500/163.png
227,Rhode Island,URI,Coastal Athletic,https://cdn.collegefootballdata.com/logos/500/227.png
257,Richmond,RICH,Patriot,https://cdn.collegefootballdata.com/logos/500/257.png
2523,Robert Morris,RMU,NEC,https://cdn.collegefootballdata.com/logos/500/2523.png
2529,Sacred Heart,SHU,Coastal Athletic,https://cdn.collegefootballdata.com/logos/500/2529.png
2535,Samford,SAM,Southern,https://cdn.collegefootballdata.com/logos/500/2535.png
301,San Diego,USD,Pioneer,https://cdn.collegefootballdata.com/logos/500/301.png
2545,SE Louisiana,SELA,Southland,https://cdn.collegefootballdata.com/logos/500/2545.png
2569,South Carolina State,SCST,MEAC,https://cdn.collegefootballdata.com/logos/500/2569.png
233,South Dakota,SDAK,MVFC,https://cdn.collegefootballdata.com/logos/500/233.png
2571,South Dakota State,SDST,MVFC,https://cdn.collegefootballdata.com/logos/500/2571.png
2546,Southeast Missouri State,SEMO,OVC,https://cdn.collegefootballdata.com/logos/500/2546.png
2582,Southern,SOU,SWAC,https://cdn.collegefootballdata.com/logos/500/2582.png
79,Southern Illinois,SIU,MVFC,https://cdn.collegefootballdata.com/logos/500/79.png
253,Southern Utah,SUU,Big Sky,https://cdn.collegefootballdata.com/logos/500/253.png
2617,Stephen F. Austin,SFA,Southland,https://cdn.collegefootballdata.com/logos/500/2617.png
56,Stetson,STET,Pioneer,https://cdn.collegefootballdata.com/logos/500/56.png
284,Stonehill,STO,NEC,https://cdn.collegefootballdata.com/logos/500/284.png
2619,Stony Brook,STBK,Coastal Athletic,https://cdn.collegefootballdata.com/logos/500/2619.png
2900,St. Thomas (MN),STMN,Pioneer,https://cdn.collegefootballdata.com/logos/500/2900.png
2627,Tarleton State,TAR,UAC,https://cdn.collegefootballdata.com/logos/500/2627.png
2634,Tennessee State,TNST,OVC,https://cdn.collegefootballdata.com/logos/500/2634.png
2635,Tennessee Tech,TNTC,Southern,https://cdn.collegefootballdata.com/logos/500/2635.png
2640,Texas Southern,TXSO,SWAC,https://cdn.collegefootballdata.com/logos/500/2640.png
2643,The Citadel,CIT,Southern,https://cdn.collegefootballdata.com/logos/500/2643.png
119,Towson,TOW,Coastal Athletic,https://cdn.collegefootballdata.com/logos/500/119.png
399,UAlbany,UALB,Coastal Athletic,https://cdn.collegefootballdata.com/logos/500/399.png
302,UC Davis,UCD,Big Sky,https://cdn.collegefootballdata.com/logos/500/302.png
3101,Utah Tech,UTU,Big Sky,https://cdn.collegefootballdata.com/logos/500/3101.png
2630,UT Martin,UTM,OVC,https://cdn.collegefootballdata.com/logos/500/2630.png
292,UT Rio Grande Valley,RGV,Southland,https://cdn.collegefootballdata.com/logos/500/292.png
2674,Valparaiso,VAL,Pioneer,https://cdn.collegefootballdata.com/logos/500/2674.png
222,Villanova,VILL,Patriot,https://cdn.collegefootballdata.com/logos/500/222.png
2678,VMI,VMI,Southern,https://cdn.collegefootballdata.com/logos/500/2678.png
2681,Wagner,WAG,NEC,https://cdn.collegefootballdata.com/logos/500/2681.png
2692,Weber State,WEB,Big Sky,https://cdn.collegefootballdata.com/logos/500/2692.png
2717,Western Carolina,WCU,Southern,https://cdn.collegefootballdata.com/logos/500/2717.png
2710,Western Illinois,WIU,OVC,https://cdn.collegefootballdata.com/logos/500/2710.png
110242,West Florida,WFL,UAC,
2698,West Georgia,WGA,UAC,https://cdn.collegefootballdata.com/logos/500/2698.png
2729,William & Mary,W&M,Patriot,https://cdn.collegefootballdata.com/logos/500/2729.png
2747,Wofford,WOF,Southern,https://cdn.collegefootballdata.com/logos/500/2747.png
43,Yale,YALE,Ivy,https://cdn.collegefootballdata.com/logos/500/43.png
2754,Youngstown State,YSU,MVFC,https://cdn.collegefootballdata.com/logos/500/2754.png
